anio,mes,region,prov,EOLICO,energia_gen
2017,5,8,3,True,2.1
2017,5,7,18,True,0.7
2017,5,8,3,True,14.0
2017,5,0,0,True,0.0
2017,5,8,3,True,12.0
2017,5,8,3,True,7.3
2017,5,8,3,True,0.1
2017,6,7,8,True,1.3
2017,6,7,8,True,3.5
2017,6,8,3,True,2.4
2017,6,7,18,True,0.7
2017,6,8,3,True,17.0
2017,6,0,0,True,0.0
2017,6,8,3,True,18.3
2017,6,8,3,True,10.7
2017,6,8,3,True,0.3
2017,7,7,8,True,1.4
2017,7,7,8,True,2.5
2017,7,8,3,True,3.1
2017,7,7,18,True,1.2
2017,7,8,3,True,17.1
2017,7,0,0,True,0.0
2017,7,8,3,True,16.2
2017,7,8,3,True,9.8
2017,7,8,3,True,0.5
2017,8,7,8,True,1.7
2017,8,7,8,True,2.7
2017,8,8,3,True,2.9
2017,8,7,18,True,1.0
2017,8,8,3,True,17.7
2017,8,0,0,True,0.0
2017,8,8,3,True,17.4
2017,8,8,3,True,10.4
2017,8,8,3,True,0.4
2017,9,7,8,True,1.7
2017,9,7,8,True,5.2
2017,9,8,3,True,2.5
2017,9,7,18,True,1.0
2017,9,8,3,True,14.4
2017,9,0,0,True,0.0
2017,9,8,3,True,13.7
2017,9,8,3,True,8.3
2017,9,8,3,True,0.5
2017,10,7,8,True,0.5
2017,10,7,8,True,5.5
2017,10,8,3,True,3.1
2017,10,7,18,True,1.0
2017,10,8,3,True,16.7
2017,10,0,0,True,0.0
2017,10,8,3,True,17.3
2017,10,8,3,True,10.5
2017,10,8,3,True,0.0
2017,10,8,3,True,0.5
2017,11,7,8,True,0.6
2017,11,7,8,True,4.9
2017,11,8,3,True,2.1
2017,11,7,18,True,0.7
2017,11,8,3,True,15.0
2017,11,0,0,True,0.0
2017,11,8,3,True,15.8
2017,11,8,3,True,9.7
2017,11,8,3,True,6.5
2017,11,8,3,True,0.3
2017,12,7,8,True,0.6
2017,12,7,8,True,6.1
2017,12,8,3,True,2.9
2017,12,7,18,True,0.8
2017,12,8,3,True,16.0
2017,12,0,0,True,0.0
2017,12,8,3,True,18.7
2017,12,8,3,True,11.5
2017,12,8,3,True,10.5
2017,12,8,3,True,0.3
2018,1,7,8,True,0.4
2018,1,7,8,True,4.8
2018,1,8,3,True,2.8
2018,1,7,18,True,0.7
2018,1,8,3,True,12.8
2018,1,0,0,True,0.0
2018,1,8,3,True,15.9
2018,1,8,3,True,10.0
2018,1,8,3,True,8.7
2018,1,8,3,True,0.1
2018,2,7,8,True,0.7
2018,2,7,8,True,3.9
2018,2,8,3,True,2.3
2018,2,7,18,True,1.0
2018,2,8,3,True,8.9
2018,2,0,0,True,0.0
2018,2,8,3,True,13.2
2018,2,8,3,True,8.1
2018,2,8,3,True,7.7
2018,2,8,3,True,0.0
2018,3,7,8,True,1.4
2018,3,7,8,True,3.6
2018,3,8,3,True,3.0
2018,3,7,18,True,1.1
2018,3,8,3,True,10.6
2018,3,0,0,True,0.0
2018,3,8,3,True,13.4
2018,3,8,3,True,8.4
2018,3,8,3,True,8.8
2018,3,8,3,True,0.0
2018,4,7,8,True,2.0
2018,4,7,8,True,4.2
2018,4,0,0,True,0.0
2018,4,8,3,True,2.8
2018,4,7,18,True,1.2
2018,4,8,3,True,15.2
2018,4,0,0,True,0.0
2018,4,8,3,True,15.1
2018,4,8,3,True,9.2
2018,4,8,3,True,9.4
2018,4,8,3,True,0.0
2018,5,7,8,True,2.5
2018,5,7,8,True,3.6
2018,5,0,0,True,12.3
2018,5,8,3,True,2.3
2018,5,7,18,True,1.1
2018,5,8,3,True,12.5
2018,5,0,0,True,0.0
2018,5,8,3,True,12.6
2018,5,8,3,True,7.4
2018,5,8,3,True,8.5
2018,5,8,3,True,0.0
2018,6,7,8,True,1.6
2018,6,7,8,True,2.0
2018,6,0,0,True,33.8
2018,6,8,3,True,2.4
2018,6,7,18,True,0.9
2018,6,8,3,True,14.9
2018,6,0,0,True,0.0
2018,6,8,3,True,15.9
2018,6,8,3,True,9.4
2018,6,8,3,True,10.0
2018,6,8,3,True,0.0
2018,7,7,8,True,2.2
2018,7,7,8,True,2.4
2018,7,0,0,True,31.7
2018,7,8,3,True,1.7
2018,7,7,18,True,1.2
2018,7,8,3,True,13.3
2018,7,8,3,True,9.1
2018,7,0,0,True,0.0
2018,7,8,3,True,13.2
2018,7,8,3,True,8.2
2018,7,8,3,True,8.5
2018,7,8,3,True,0.0
2018,8,1,4,True,1.6
2018,8,7,8,True,2.4
2018,8,7,8,True,2.7
2018,8,0,0,True,36.7
2018,8,8,3,True,2.7
2018,8,7,18,True,1.3
2018,8,0,0,True,19.6
2018,8,8,3,True,14.8
2018,8,8,3,True,24.1
2018,8,0,0,True,0.0
2018,8,8,3,True,13.2
2018,8,8,3,True,8.4
2018,8,8,3,True,9.2
2018,8,8,3,True,0.0
2018,9,1,4,True,9.8
2018,9,7,8,True,3.9
2018,9,7,8,True,3.9
2018,9,0,0,True,32.9
2018,9,8,3,True,2.3
2018,9,8,3,True,0.0
2018,9,7,18,True,1.4
2018,9,0,0,True,24.6
2018,9,8,3,True,15.5
2018,9,8,3,True,20.8
2018,9,0,0,True,0.0
2018,9,8,3,True,15.4
2018,9,8,3,True,9.3
2018,9,8,3,True,9.2
2018,9,8,3,True,0.0
2018,10,1,4,True,21.3
2018,10,7,8,True,6.5
2018,10,7,8,True,3.6
2018,10,0,0,True,30.9
2018,10,8,3,True,2.2
2018,10,8,3,True,1.0
2018,10,7,18,True,1.8
2018,10,0,0,True,33.1
2018,10,8,3,True,16.5
2018,10,8,3,True,22.9
2018,10,0,0,True,0.0
2018,10,8,3,True,15.4
2018,10,8,3,True,16.2
2018,10,8,3,True,8.4
2018,10,8,3,True,7.9
2018,10,8,3,True,0.2
2018,11,1,4,True,20.4
2018,11,7,8,True,5.9
2018,11,7,8,True,3.5
2018,11,8,3,True,4.0
2018,11,0,0,True,30.8
2018,11,8,3,True,2.5
2018,11,8,3,True,7.9
2018,11,7,18,True,1.5
2018,11,0,0,True,32.8
2018,11,8,3,True,14.7
2018,11,8,3,True,32.2
2018,11,0,0,True,0.0
2018,11,8,3,True,27.8
2018,11,8,3,True,16.2
2018,11,8,3,True,10.1
2018,11,8,3,True,9.4
2018,11,8,3,True,0.1
2018,11,0,0,True,4.9
2018,12,1,4,True,19.5
2018,12,7,8,True,5.0
2018,12,7,8,True,2.5
2018,12,8,3,True,10.7
2018,12,0,0,True,37.3
2018,12,8,3,True,2.5
2018,12,8,3,True,9.9
2018,12,7,18,True,1.1
2018,12,0,0,True,37.9
2018,12,8,3,True,9.7
2018,12,8,3,True,40.8
2018,12,0,0,True,0.0
2018,12,8,3,True,27.1
2018,12,8,3,True,16.1
2018,12,8,3,True,9.9
2018,12,8,3,True,9.5
2018,12,8,3,True,0.3
2018,12,0,0,True,18.2
2019,1,1,4,True,16.4
2019,1,8,3,True,6.9
2019,1,7,8,True,4.1
2019,1,7,8,True,2.5
2019,1,0,7,True,0.0
2019,1,8,3,True,11.5
2019,1,0,0,True,40.0
2019,1,8,3,True,3.0
2019,1,8,3,True,11.5
2019,1,7,18,True,1.0
2019,1,0,0,True,40.3
2019,1,8,3,True,11.0
2019,1,8,3,True,50.3
2019,1,0,0,True,0.0
2019,1,8,3,True,29.9
2019,1,8,3,True,16.0
2019,1,8,3,True,9.7
2019,1,8,3,True,9.7
2019,1,8,3,True,0.2
2019,1,0,0,True,1.2
2019,1,0,0,True,23.2
2019,2,1,4,True,14.4
2019,2,8,3,True,15.0
2019,2,7,8,True,4.7
2019,2,7,8,True,1.4
2019,2,0,7,True,2.1
2019,2,8,3,True,9.9
2019,2,0,0,True,17.7
2019,2,8,3,True,0.0
2019,2,8,3,True,2.1
2019,2,8,3,True,8.7
2019,2,7,18,True,0.8
2019,2,0,0,True,33.4
2019,2,8,3,True,10.4
2019,2,8,3,True,37.5
2019,2,0,0,True,0.0
2019,2,8,3,True,24.7
2019,2,8,3,True,14.6
2019,2,8,3,True,8.9
2019,2,8,3,True,8.3
2019,2,8,3,True,0.2
2019,2,0,0,True,1.1
2019,2,0,0,True,17.1
2019,3,1,4,True,14.8
2019,3,8,3,True,19.2
2019,3,7,8,True,6.0
2019,3,7,8,True,1.7
2019,3,0,7,True,11.0
2019,3,8,16,True,2.2
2019,3,8,16,True,28.0
2019,3,8,3,True,11.9
2019,3,0,0,True,30.9
2019,3,8,3,True,0.0
2019,3,8,3,True,1.9
2019,3,8,3,True,9.3
2019,3,7,18,True,1.0
2019,3,0,0,True,37.1
2019,3,8,3,True,11.8
2019,3,8,3,True,36.6
2019,3,0,0,True,0.0
2019,3,0,0,True,0.4
2019,3,8,3,True,28.1
2019,3,8,3,True,14.9
2019,3,8,3,True,9.4
2019,3,8,3,True,9.3
2019,3,8,3,True,0.0
2019,3,0,0,True,1.3
2019,3,0,0,True,21.8
2019,4,1,4,True,16.9
2019,4,8,3,True,17.6
2019,4,7,8,True,5.4
2019,4,7,8,True,1.4
2019,4,0,0,True,0.0
2019,4,0,7,True,14.1
2019,4,8,16,True,9.3
2019,4,8,16,True,37.7
2019,4,8,3,True,10.4
2019,4,0,0,True,28.6
2019,4,8,3,True,0.0
2019,4,8,3,True,2.3
2019,4,8,3,True,8.9
2019,4,7,18,True,1.0
2019,4,0,0,True,33.8
2019,4,8,3,True,11.8
2019,4,8,3,True,41.4
2019,4,0,0,True,0.0
2019,4,0,0,True,13.5
2019,4,8,3,True,25.8
2019,4,8,3,True,14.1
2019,4,8,3,True,8.3
2019,4,8,3,True,8.7
2019,4,8,3,True,0.0
2019,4,0,0,True,1.2
2019,4,0,0,True,18.3
2019,5,1,4,True,14.0
2019,5,8,3,True,18.2
2019,5,7,8,True,6.2
2019,5,7,8,True,1.1
2019,5,0,0,True,13.3
2019,5,0,7,True,14.5
2019,5,8,16,True,8.3
2019,5,8,16,True,33.2
2019,5,8,3,True,10.0
2019,5,0,0,True,27.5
2019,5,8,3,True,0.0
2019,5,8,3,True,2.3
2019,5,8,3,True,8.3
2019,5,7,18,True,0.8
2019,5,0,0,True,30.7
2019,5,8,3,True,11.4
2019,5,8,3,True,41.3
2019,5,0,0,True,0.0
2019,5,0,0,True,15.7
2019,5,8,3,True,24.1
2019,5,2,12,True,3.0
2019,5,8,3,True,12.7
2019,5,8,3,True,7.8
2019,5,8,3,True,8.8
2019,5,8,3,True,0.4
2019,5,0,0,True,1.1
2019,5,0,0,True,16.8
2019,6,1,4,True,15.9
2019,6,8,3,True,20.7
2019,6,7,8,True,4.9
2019,6,7,8,True,0.9
2019,6,0,0,True,22.2
2019,6,0,7,True,14.1
2019,6,8,16,True,9.0
2019,6,8,16,True,39.6
2019,6,8,3,True,12.3
2019,6,0,0,True,35.1
2019,6,8,3,True,0.0
2019,6,8,3,True,2.5
2019,6,8,3,True,9.7
2019,6,7,18,True,0.7
2019,6,0,0,True,35.8
2019,6,8,3,True,12.9
2019,6,8,3,True,46.4
2019,6,0,0,True,0.0
2019,6,0,0,True,18.3
2019,6,8,3,True,26.4
2019,6,8,3,True,4.6
2019,6,2,12,True,23.2
2019,6,8,3,True,15.1
2019,6,8,3,True,9.3
2019,6,8,3,True,9.6
2019,6,8,3,True,0.1
2019,6,0,0,True,1.4
2019,6,0,0,True,19.3
2019,7,1,4,True,15.9
2019,7,8,3,True,18.7
2019,7,8,3,True,11.0
2019,7,7,8,True,5.3
2019,7,7,8,True,1.8
2019,7,0,0,True,24.6
2019,7,0,7,True,13.8
2019,7,8,16,True,8.8
2019,7,8,16,True,37.1
2019,7,8,3,True,11.6
2019,7,0,0,True,37.1
2019,7,8,3,True,0.6
2019,7,8,3,True,2.5
2019,7,8,3,True,8.7
2019,7,7,18,True,0.7
2019,7,0,0,True,5.1
2019,7,0,0,True,38.2
2019,7,8,3,True,11.8
2019,7,8,3,True,43.2
2019,7,0,0,True,0.0
2019,7,0,0,True,8.4
2019,7,8,3,True,24.9
2019,7,8,3,True,5.1
2019,7,2,12,True,30.8
2019,7,2,12,True,0.6
2019,7,8,3,True,14.3
2019,7,8,3,True,8.7
2019,7,8,3,True,9.6
2019,7,8,3,True,0.0
2019,7,0,0,True,1.5
2019,7,0,0,True,20.9
2019,8,1,4,True,16.5
2019,8,8,3,True,20.9
2019,8,8,3,True,21.8
2019,8,7,8,True,6.7
2019,8,7,8,True,2.6
2019,8,0,0,True,19.0
2019,8,0,7,True,15.5
2019,8,8,16,True,9.7
2019,8,8,16,True,38.7
2019,8,8,3,True,12.3
2019,8,0,0,True,32.2
2019,8,8,3,True,5.7
2019,8,8,3,True,2.3
2019,8,8,3,True,10.8
2019,8,0,0,True,0.0
2019,8,0,0,True,2.0
2019,8,7,18,True,0.7
2019,8,0,0,True,5.6
2019,8,0,0,True,34.6
2019,8,8,3,True,13.0
2019,8,8,3,True,43.2
2019,8,0,0,True,0.0
2019,8,0,0,True,9.7
