anio,mes,region,prov,BIOGAS,energia_gen
2021,2,1,4,True,0.6
2021,2,0,0,True,0.2
2021,2,0,0,True,0.2
2021,2,5,17,True,0.4
2021,2,1,4,True,0.5
2021,2,1,15,True,0.0
2021,2,1,4,True,0.9
2021,3,4,0,True,3.7
2021,3,4,0,True,4.9
2021,3,1,15,True,0.4
2021,3,1,4,True,1.5
2021,3,5,17,True,1.0
2021,3,1,4,True,0.9
2021,3,1,4,True,0.9
2021,3,5,17,True,2.6
2021,3,0,0,True,2.9
2021,3,1,4,True,0.9
2021,3,7,19,True,0.1
2021,3,1,4,True,0.6
2021,3,0,0,True,0.3
2021,3,1,15,True,0.7
2021,3,1,15,True,0.6
2021,3,1,4,True,0.7
2021,3,0,0,True,0.3
2021,3,0,0,True,0.3
2021,3,5,17,True,0.9
2021,3,1,4,True,0.4
2021,3,1,15,True,0.0
2021,3,1,4,True,1.2
2021,3,2,7,True,0.2
2021,4,4,0,True,3.6
2021,4,4,0,True,5.1
2021,4,1,15,True,0.8
2021,4,1,4,True,1.4
2021,4,5,17,True,1.0
2021,4,1,4,True,0.7
2021,4,1,4,True,0.8
2021,4,5,17,True,2.5
2021,4,0,0,True,2.9
2021,4,1,4,True,0.8
2021,4,7,19,True,0.8
2021,4,1,4,True,0.6
2021,4,0,0,True,0.4
2021,4,1,15,True,0.7
2021,4,1,15,True,0.4
2021,4,1,4,True,0.7
2021,4,0,0,True,0.3
2021,4,0,0,True,0.4
2021,4,5,17,True,1.1
2021,4,1,4,True,0.6
2021,4,1,15,True,0.0
2021,4,1,4,True,0.8
2021,4,2,7,True,0.5
2021,4,1,4,True,0.0
2021,5,4,0,True,3.4
2021,5,4,0,True,4.8
2021,5,1,15,True,0.7
2021,5,1,4,True,1.4
2021,5,5,17,True,1.0
2021,5,1,4,True,0.9
2021,5,1,4,True,0.9
2021,5,5,17,True,2.6
2021,5,0,0,True,3.0
2021,5,1,4,True,0.8
2021,5,7,19,True,1.7
2021,5,1,4,True,0.5
2021,5,0,0,True,0.2
2021,5,1,15,True,0.7
2021,5,1,15,True,0.7
2021,5,1,4,True,0.7
2021,5,0,0,True,0.5
2021,5,0,0,True,0.3
2021,5,5,17,True,1.0
2021,5,1,4,True,0.7
2021,5,1,15,True,0.0
2021,5,1,4,True,0.6
2021,5,2,7,True,0.6
2021,5,1,4,True,0.0
2021,6,4,0,True,3.6
2021,6,4,0,True,5.3
2021,6,1,15,True,0.6
2021,6,1,4,True,1.4
2021,6,5,17,True,0.9
2021,6,1,4,True,0.8
2021,6,1,4,True,0.8
2021,6,5,17,True,3.0
2021,6,0,0,True,2.6
2021,6,1,4,True,0.8
2021,6,7,19,True,1.3
2021,6,1,4,True,0.6
2021,6,0,0,True,0.3
2021,6,1,15,True,0.7
2021,6,1,15,True,0.9
2021,6,1,4,True,0.7
2021,6,0,0,True,0.4
2021,6,0,0,True,0.4
2021,6,5,17,True,1.1
2021,6,1,4,True,0.9
2021,6,1,15,True,0.2
2021,6,1,4,True,1.2
2021,6,2,7,True,0.7
2021,6,4,0,True,3.0
2021,6,0,0,True,0.0
2021,6,0,0,True,0.0
2021,6,1,4,True,0.0
2021,7,4,0,True,3.7
2021,7,4,0,True,5.4
2021,7,1,15,True,0.6
2021,7,1,4,True,1.5
2021,7,5,17,True,0.8
2021,7,1,4,True,0.8
2021,7,1,4,True,0.9
2021,7,5,17,True,4.1
2021,7,0,0,True,2.6
2021,7,1,4,True,0.8
2021,7,7,19,True,1.5
2021,7,1,4,True,0.6
2021,7,0,0,True,0.6
2021,7,1,15,True,0.7
2021,7,1,15,True,1.2
2021,7,1,4,True,0.7
2021,7,0,0,True,0.5
2021,7,0,0,True,0.4
2021,7,5,17,True,0.9
2021,7,1,4,True,0.9
2021,7,1,15,True,0.4
2021,7,1,4,True,1.3
2021,7,2,7,True,0.8
2021,7,4,0,True,3.6
2021,7,0,0,True,0.2
2021,7,0,0,True,0.0
2021,7,1,4,True,0.0
2021,8,4,0,True,3.7
2021,8,4,0,True,5.8
2021,8,1,15,True,0.7
2021,8,1,4,True,1.4
2021,8,5,17,True,0.8
2021,8,1,4,True,0.8
2021,8,1,4,True,0.9
2021,8,5,17,True,4.4
2021,8,0,0,True,2.8
2021,8,1,4,True,0.8
2021,8,7,19,True,1.3
2021,8,1,4,True,0.6
2021,8,0,0,True,0.5
2021,8,1,15,True,0.7
2021,8,1,15,True,1.0
2021,8,1,4,True,0.7
2021,8,0,0,True,0.5
2021,8,0,0,True,0.5
2021,8,5,17,True,0.9
2021,8,1,4,True,0.7
2021,8,1,15,True,0.5
2021,8,1,4,True,1.2
2021,8,2,7,True,1.0
2021,8,4,0,True,3.6
2021,8,0,0,True,0.6
2021,8,0,0,True,0.0
2021,8,1,4,True,0.0
2021,9,4,0,True,3.6
2021,9,4,0,True,5.6
2021,9,1,15,True,0.7
2021,9,1,4,True,1.4
2021,9,5,17,True,0.9
2021,9,1,4,True,0.8
2021,9,1,4,True,0.8
2021,9,5,17,True,4.3
2021,9,0,0,True,2.9
2021,9,1,4,True,0.8
2021,9,7,19,True,1.4
2021,9,1,4,True,0.1
2021,9,0,0,True,0.8
2021,9,1,15,True,0.7
2021,9,1,15,True,1.0
2021,9,1,4,True,0.7
2021,9,0,0,True,0.5
2021,9,0,0,True,0.4
2021,9,5,17,True,1.2
2021,9,1,4,True,0.6
2021,9,1,15,True,0.4
2021,9,1,4,True,1.3
2021,9,2,7,True,1.0
2021,9,4,0,True,3.5
2021,9,0,0,True,0.7
2021,9,0,0,True,0.0
2021,9,1,4,True,0.0
2021,10,4,0,True,3.7
2021,10,4,0,True,6.9
2021,10,1,15,True,0.8
2021,10,1,4,True,1.4
2021,10,5,17,True,0.7
2021,10,1,4,True,0.8
2021,10,1,4,True,0.9
2021,10,5,17,True,4.5
2021,10,0,0,True,2.6
2021,10,1,4,True,0.9
2021,10,7,19,True,0.2
2021,10,1,4,True,0.3
2021,10,0,0,True,1.1
2021,10,1,15,True,0.7
2021,10,1,15,True,1.2
2021,10,1,4,True,0.7
2021,10,0,0,True,0.5
2021,10,0,0,True,0.3
2021,10,5,17,True,1.3
2021,10,1,4,True,0.9
2021,10,1,15,True,0.5
2021,10,1,4,True,1.3
2021,10,2,7,True,0.8
2021,10,4,0,True,3.6
2021,10,0,0,True,0.6
2021,10,0,0,True,0.0
2021,10,1,4,True,0.0
2021,11,2,7,True,0.3
2021,11,0,0,True,0.5
2021,11,5,17,True,4.3
2021,11,1,4,True,1.4
2021,11,1,4,True,0.8
2021,11,1,4,True,0.8
2021,11,1,4,True,0.7
2021,11,7,19,True,0.0
2021,11,0,0,True,1.9
2021,11,0,0,True,0.2
2021,11,1,4,True,0.4
2021,11,1,4,True,0.7
2021,11,1,15,True,0.7
2021,11,0,0,True,0.2
2021,11,0,0,True,1.4
2021,11,0,0,True,0.0
2021,11,1,4,True,1.0
2021,11,4,0,True,3.6
2021,11,4,0,True,3.6
2021,11,4,0,True,6.7
2021,11,5,17,True,0.8
2021,11,1,15,True,1.1
2021,11,1,4,True,0.7
2021,11,5,17,True,1.2
2021,11,1,15,True,0.5
2021,11,1,15,True,0.8
2021,11,1,4,True,0.0
2021,12,4,0,True,3.7
2021,12,4,0,True,7.0
