anio,mes,region,prov,SOLAR,energia_gen
2017,12,3,14,True,0.0
2017,12,3,14,True,0.3
2018,1,3,14,True,0.4
2018,1,3,14,True,0.4
2018,1,3,14,True,0.6
2018,1,3,14,True,0.0
2018,1,3,14,True,0.3
2018,2,3,14,True,0.3
2018,2,3,14,True,0.3
2018,2,3,14,True,0.5
2018,2,3,14,True,0.0
2018,2,3,14,True,0.3
2018,3,3,14,True,0.5
2018,3,3,14,True,0.5
2018,3,3,14,True,0.7
2018,3,3,14,True,0.0
2018,3,3,14,True,0.3
2018,4,3,14,True,0.4
2018,4,3,14,True,0.4
2018,4,3,14,True,0.6
2018,4,3,14,True,0.0
2018,4,3,14,True,0.3
2018,5,3,14,True,0.3
2018,5,3,14,True,0.3
2018,5,3,14,True,0.4
2018,5,3,14,True,0.0
2018,5,3,14,True,0.1
2018,5,3,14,True,0.1
2018,6,3,14,True,0.3
2018,6,3,14,True,0.3
2018,6,3,14,True,0.4
2018,6,3,14,True,0.0
2018,6,3,14,True,0.1
2018,6,3,14,True,0.1
2018,7,1,15,True,1.9
2018,7,3,14,True,0.3
2018,7,3,14,True,0.3
2018,7,3,14,True,0.4
2018,7,3,14,True,0.0
2018,7,3,14,True,0.1
2018,7,3,14,True,0.1
2018,8,1,15,True,4.3
2018,8,3,14,True,0.4
2018,8,1,15,True,1.3
2018,8,3,14,True,0.4
2018,8,3,14,True,0.6
2018,8,3,14,True,0.0
2018,8,3,14,True,0.1
2018,8,3,14,True,0.1
2018,8,3,14,True,0.2
2018,9,1,15,True,4.9
2018,9,7,8,True,0.0
2018,9,3,14,True,0.4
2018,9,1,15,True,4.1
2018,9,3,14,True,0.5
2018,9,3,14,True,0.6
2018,9,3,14,True,0.0
2018,9,3,14,True,0.3
2018,9,3,14,True,0.1
2018,9,3,14,True,0.2
2018,10,1,15,True,5.3
2018,10,7,8,True,0.2
2018,10,3,14,True,0.5
2018,10,1,15,True,4.6
2018,10,3,14,True,0.5
2018,10,3,14,True,0.6
2018,10,3,14,True,0.0
2018,10,3,14,True,0.3
2018,10,7,8,True,2.0
2018,10,3,14,True,0.1
2018,10,3,14,True,0.2
2018,11,1,15,True,6.8
2018,11,7,8,True,0.1
2018,11,3,14,True,0.5
2018,11,1,15,True,5.3
2018,11,3,14,True,0.5
2018,11,3,14,True,0.6
2018,11,3,14,True,0.0
2018,11,3,14,True,0.3
2018,11,7,8,True,6.0
2018,11,7,1,True,3.5
2018,11,3,14,True,0.1
2018,11,3,14,True,0.2
2018,11,3,14,True,0.0
2018,11,3,14,True,0.0
2018,12,1,15,True,7.1
2018,12,7,8,True,0.2
2018,12,3,14,True,0.5
2018,12,1,15,True,6.4
2018,12,3,14,True,0.5
2018,12,3,14,True,0.7
2018,12,3,14,True,0.0
2018,12,3,14,True,0.3
2018,12,7,8,True,7.1
2018,12,7,1,True,5.3
2018,12,3,14,True,0.1
2018,12,3,14,True,0.2
2018,12,3,14,True,2.6
2018,12,3,14,True,4.1
2018,12,3,14,True,4.1
2019,1,1,15,True,6.5
2019,1,7,8,True,0.3
2019,1,3,14,True,0.5
2019,1,1,15,True,5.7
2019,1,3,14,True,0.5
2019,1,3,14,True,0.6
2019,1,3,14,True,0.0
2019,1,3,14,True,0.1
2019,1,3,14,True,0.3
2019,1,7,8,True,6.1
2019,1,7,1,True,5.4
2019,1,3,14,True,0.1
2019,1,3,14,True,0.2
2019,1,3,14,True,5.3
2019,1,3,14,True,4.7
2019,1,3,14,True,4.3
2019,2,1,15,True,5.6
2019,2,7,8,True,0.3
2019,2,3,14,True,0.3
2019,2,1,15,True,0.7
2019,2,1,15,True,4.9
2019,2,3,14,True,0.4
2019,2,3,14,True,0.6
2019,2,3,14,True,0.0
2019,2,3,14,True,6.6
2019,2,7,8,True,0.2
2019,2,3,14,True,0.2
2019,2,7,8,True,4.0
2019,2,7,1,True,4.4
2019,2,3,14,True,0.1
2019,2,3,14,True,0.2
2019,2,3,14,True,6.4
2019,2,3,14,True,4.1
2019,2,3,14,True,5.1
2019,3,1,15,True,4.3
2019,3,7,8,True,0.2
2019,3,3,14,True,0.4
2019,3,1,15,True,0.7
2019,3,1,15,True,4.2
2019,3,3,14,True,0.4
2019,3,3,14,True,0.6
2019,3,3,14,True,0.0
2019,3,3,14,True,12.9
2019,3,7,8,True,1.1
2019,3,3,14,True,0.3
2019,3,7,8,True,3.7
2019,3,7,1,True,4.0
2019,3,3,14,True,0.1
2019,3,3,14,True,0.2
2019,3,7,1,True,0.0
2019,3,7,1,True,0.1
2019,3,3,14,True,7.0
2019,3,3,14,True,5.4
2019,3,3,14,True,5.5
2019,4,1,15,True,4.1
2019,4,7,8,True,0.2
2019,4,3,14,True,0.4
2019,4,1,15,True,0.6
2019,4,1,15,True,4.0
2019,4,3,14,True,0.4
2019,4,3,14,True,0.5
2019,4,3,14,True,0.0
2019,4,3,14,True,14.2
2019,4,7,8,True,1.1
2019,4,3,14,True,0.3
2019,4,7,8,True,3.0
2019,4,7,1,True,3.7
2019,4,3,14,True,0.1
2019,4,3,14,True,0.2
2019,4,7,1,True,0.9
2019,4,7,1,True,2.0
2019,4,3,14,True,5.8
2019,4,3,14,True,4.4
2019,4,3,14,True,4.6
2019,5,1,15,True,2.8
2019,5,7,8,True,0.2
2019,5,3,14,True,0.3
2019,5,1,15,True,0.4
2019,5,1,15,True,2.6
2019,5,3,14,True,0.3
2019,5,3,14,True,0.4
2019,5,3,14,True,0.0
2019,5,3,14,True,12.0
2019,5,7,8,True,1.2
2019,5,3,14,True,0.2
2019,5,7,8,True,4.4
2019,5,7,1,True,3.1
2019,5,3,14,True,0.1
2019,5,3,14,True,0.1
2019,5,7,1,True,1.0
2019,5,7,1,True,2.2
2019,5,3,14,True,4.1
2019,5,3,14,True,0.0
2019,5,3,14,True,3.2
2019,5,3,14,True,3.3
2019,6,7,13,True,0.9
2019,6,1,15,True,2.9
2019,6,7,8,True,0.2
2019,6,3,14,True,0.3
2019,6,1,15,True,0.4
2019,6,1,15,True,2.7
2019,6,3,14,True,0.3
2019,6,3,14,True,0.5
2019,6,3,14,True,0.0
2019,6,3,14,True,10.6
2019,6,7,8,True,1.2
2019,6,3,14,True,0.2
2019,6,7,8,True,4.1
2019,6,7,1,True,2.8
2019,6,3,14,True,0.1
2019,6,3,14,True,0.1
2019,6,7,1,True,0.9
2019,6,7,1,True,2.0
2019,6,3,14,True,3.8
2019,6,3,14,True,0.6
2019,6,3,14,True,3.1
2019,6,3,14,True,3.0
2019,7,7,13,True,9.5
2019,7,1,15,True,2.9
2019,7,7,8,True,0.2
2019,7,3,14,True,0.3
2019,7,1,15,True,0.5
2019,7,1,15,True,3.0
2019,7,3,14,True,0.3
2019,7,3,14,True,0.5
2019,7,3,14,True,0.0
2019,7,3,14,True,12.5
2019,7,7,8,True,1.3
2019,7,3,14,True,0.2
2019,7,7,8,True,4.8
2019,7,3,9,True,0.0
2019,7,7,1,True,3.3
2019,7,3,14,True,0.1
2019,7,3,14,True,0.1
2019,7,7,1,True,1.0
2019,7,7,1,True,2.1
2019,7,3,14,True,0.5
2019,7,3,14,True,3.6
2019,7,3,14,True,1.1
2019,7,3,14,True,3.1
2019,7,3,14,True,3.1
2019,8,7,13,True,5.2
2019,8,1,15,True,4.1
2019,8,7,8,True,0.3
2019,8,3,14,True,0.4
2019,8,1,15,True,0.7
2019,8,1,15,True,4.1
2019,8,3,14,True,0.4
2019,8,3,14,True,0.6
2019,8,3,14,True,0.0
2019,8,3,14,True,16.9
2019,8,7,8,True,2.1
2019,8,3,14,True,0.3
2019,8,7,8,True,6.1
2019,8,3,9,True,0.2
2019,8,7,1,True,4.0
2019,8,3,14,True,0.1
2019,8,3,14,True,0.2
2019,8,7,1,True,1.4
2019,8,7,1,True,2.9
2019,8,3,14,True,0.8
2019,8,3,14,True,5.6
2019,8,3,14,True,1.5
2019,8,3,14,True,4.6
2019,8,3,14,True,4.6
2019,9,7,13,True,11.9
2019,9,1,15,True,5.3
2019,9,7,8,True,0.3
2019,9,3,14,True,0.5
2019,9,1,15,True,0.9
2019,9,1,15,True,0.9
2019,9,1,15,True,5.3
2019,9,7,1,True,1.0
2019,9,3,14,True,0.5
2019,9,3,14,True,0.6
2019,9,3,14,True,0.0
2019,9,3,14,True,18.4
2019,9,7,8,True,2.5
2019,9,3,14,True,0.4
2019,9,7,8,True,6.8
2019,9,3,9,True,0.2
2019,9,7,1,True,3.8
2019,9,3,14,True,0.1
2019,9,3,14,True,0.2
2019,9,7,1,True,1.5
2019,9,7,1,True,3.2
2019,9,3,14,True,1.0
2019,9,3,14,True,7.1
2019,9,3,14,True,2.1
2019,9,3,14,True,5.6
2019,9,3,14,True,5.7
2019,10,7,13,True,18.2
2019,10,1,15,True,5.7
2019,10,7,8,True,0.3
2019,10,3,14,True,0.5
2019,10,1,15,True,0.9
2019,10,1,15,True,0.7
2019,10,1,15,True,5.5
2019,10,7,1,True,2.2
2019,10,3,14,True,0.5
2019,10,3,14,True,0.6
2019,10,3,14,True,0.0
2019,10,3,14,True,15.5
2019,10,7,8,True,2.7
2019,10,3,14,True,0.5
2019,10,7,8,True,8.1
2019,10,3,9,True,0.2
2019,10,7,1,True,4.8
2019,10,3,14,True,0.1
2019,10,3,14,True,0.2
2019,10,7,1,True,1.4
2019,10,7,1,True,3.6
2019,10,3,14,True,1.3
2019,10,3,14,True,8.0
2019,10,3,14,True,2.6
2019,10,3,14,True,6.1
2019,10,3,14,True,6.3
2019,11,7,13,True,17.8
2019,11,1,15,True,6.6
2019,11,7,8,True,0.3
2019,11,3,14,True,0.5
2019,11,1,15,True,0.9
2019,11,1,15,True,0.0
2019,11,1,15,True,6.2
2019,11,7,1,True,2.9
2019,11,3,14,True,0.5
2019,11,3,14,True,0.7
2019,11,3,14,True,0.0
2019,11,3,14,True,21.7
2019,11,7,8,True,2.8
2019,11,3,14,True,0.5
2019,11,7,8,True,9.0
2019,11,3,9,True,0.3
2019,11,7,1,True,5.9
2019,11,3,14,True,0.1
2019,11,3,14,True,0.2
2019,11,7,1,True,1.4
2019,11,7,1,True,3.8
2019,11,3,14,True,1.5
2019,11,3,14,True,8.9
2019,11,3,14,True,3.4
2019,11,3,14,True,6.7
2019,11,3,14,True,6.8
2019,12,7,13,True,17.6
2019,12,1,15,True,7.5
2019,12,7,8,True,0.3
2019,12,3,14,True,0.5
2019,12,1,15,True,0.9
2019,12,1,15,True,0.7
2019,12,1,15,True,7.0
2019,12,7,1,True,3.2
2019,12,3,14,True,0.5
2019,12,3,14,True,0.6
2019,12,3,14,True,0.0
2019,12,3,14,True,23.5
2019,12,7,8,True,3.9
2019,12,3,14,True,0.5
2019,12,7,8,True,9.3
2019,12,3,9,True,0.4
2019,12,7,1,True,6.1
2019,12,3,14,True,0.1
2019,12,3,14,True,0.2
2019,12,1,15,True,0.6
2019,12,7,1,True,1.4
2019,12,7,1,True,3.8
2019,12,1,15,True,0.1
2019,12,3,14,True,1.9
2019,12,3,14,True,9.4
2019,12,3,14,True,3.9
2019,12,3,14,True,7.1
2019,12,3,14,True,7.3
2020,1,7,13,True,10.9
2020,1,1,15,True,7.0
2020,1,7,8,True,0.3
2020,1,3,14,True,0.5
2020,1,1,15,True,0.9
2020,1,1,15,True,0.9
2020,1,1,15,True,6.5
2020,1,3,14,True,0.3
2020,1,7,1,True,2.2
2020,1,3,14,True,0.5
2020,1,3,14,True,0.6
2020,1,3,14,True,0.0
2020,1,3,14,True,21.5
2020,1,7,8,True,3.7
2020,1,3,14,True,0.5
2020,1,7,8,True,8.5
2020,1,3,9,True,0.3
2020,1,3,9,True,0.7
2020,1,7,1,True,6.0
2020,1,3,14,True,0.1
2020,1,3,14,True,0.2
2020,1,1,15,True,0.8
2020,1,7,1,True,1.7
2020,1,7,1,True,3.6
2020,1,1,15,True,0.1
2020,1,3,14,True,1.9
2020,1,3,14,True,8.9
2020,1,3,14,True,3.9
2020,1,3,14,True,6.9
2020,1,3,14,True,7.0
2020,2,3,14,True,0.1
2020,2,7,13,True,0.0
2020,2,1,15,True,5.9
2020,2,7,8,True,0.2
2020,2,3,14,True,0.4
2020,2,1,15,True,0.8
2020,2,1,15,True,0.9
2020,2,1,15,True,5.4
2020,2,3,14,True,0.5
2020,2,7,1,True,2.6
2020,2,3,14,True,0.4
2020,2,3,14,True,0.5
2020,2,3,14,True,0.0
2020,2,3,14,True,20.7
2020,2,7,8,True,3.6
2020,2,3,14,True,0.4
2020,2,7,8,True,6.6
2020,2,3,9,True,0.3
2020,2,3,9,True,1.1
2020,2,7,1,True,4.7
2020,2,3,14,True,0.1
2020,2,3,14,True,0.2
2020,2,1,15,True,0.7
2020,2,7,1,True,1.3
2020,2,7,1,True,2.9
2020,2,1,15,True,0.1
2020,2,3,14,True,1.5
2020,2,3,14,True,7.6
2020,2,3,14,True,3.1
2020,2,3,14,True,5.8
2020,2,3,14,True,6.0
2020,3,3,14,True,0.5
2020,3,7,13,True,16.0
2020,3,1,15,True,5.2
2020,3,7,8,True,0.3
2020,3,3,14,True,0.5
2020,3,1,15,True,0.8
2020,3,1,15,True,0.8
2020,3,1,15,True,5.0
2020,3,3,14,True,0.5
2020,3,7,1,True,2.5
2020,3,3,14,True,0.5
2020,3,3,14,True,0.6
2020,3,3,14,True,0.0
2020,3,3,14,True,18.7
2020,3,7,8,True,3.4
2020,3,3,14,True,0.4
2020,3,7,8,True,7.4
2020,3,3,9,True,0.3
2020,3,3,9,True,1.2
2020,3,7,1,True,5.1
2020,3,3,14,True,0.1
2020,3,3,14,True,0.2
2020,3,1,15,True,0.8
2020,3,7,1,True,1.5
2020,3,7,1,True,3.1
2020,3,1,15,True,0.1
2020,3,3,14,True,1.5
2020,3,3,14,True,7.4
2020,3,3,14,True,3.0
2020,3,3,14,True,5.6
2020,3,3,14,True,5.8
2020,4,3,14,True,0.4
2020,4,7,13,True,14.3
2020,4,1,15,True,4.2
2020,4,7,8,True,0.2
2020,4,3,14,True,0.4
2020,4,1,15,True,0.7
2020,4,1,15,True,0.0
2020,4,1,15,True,3.9
2020,4,3,14,True,0.4
2020,4,7,1,True,1.6
2020,4,3,14,True,0.4
2020,4,3,14,True,0.5
2020,4,3,14,True,0.0
2020,4,3,14,True,16.2
2020,4,7,8,True,2.7
2020,4,3,14,True,0.3
2020,4,7,8,True,6.1
2020,4,3,9,True,0.2
2020,4,3,9,True,1.0
2020,4,7,1,True,4.0
2020,4,3,14,True,0.1
2020,4,3,14,True,0.2
2020,4,1,15,True,0.7
2020,4,7,1,True,1.1
2020,4,7,1,True,2.2
2020,4,1,15,True,0.1
2020,4,3,14,True,1.0
2020,4,3,14,True,5.8
2020,4,3,14,True,2.3
2020,4,3,14,True,4.5
2020,4,3,14,True,4.6
2020,5,3,14,True,0.4
2020,5,7,13,True,13.9
2020,5,1,15,True,3.8
2020,5,7,8,True,0.3
2020,5,3,14,True,0.4
