anio,mes,region,prov,BIODIESEL,energia_gen
2018,2,3,9,True,0.0
2018,2,4,0,True,0.0
2018,2,4,0,True,0.0
2018,2,4,0,True,0.0
2018,2,4,0,True,0.0
2018,2,3,14,True,0.0
2018,2,3,14,True,0.0
2018,2,3,14,True,0.0
2018,2,5,0,True,0.0
2018,2,5,17,True,0.0
2018,3,5,0,True,0.0
2018,3,5,0,True,0.0
2018,3,4,0,True,0.0
2018,3,4,0,True,0.0
2018,3,3,9,True,0.0
2018,3,3,9,True,0.0
2018,3,4,0,True,0.0
2018,3,4,0,True,0.0
2018,3,4,0,True,0.0
2018,3,4,0,True,0.0
2018,3,3,14,True,0.0
2018,3,3,14,True,0.0
2018,3,3,14,True,0.0
2018,3,5,0,True,0.0
2018,3,5,17,True,0.0
2018,4,5,0,True,0.0
2018,4,5,0,True,0.0
2018,4,4,0,True,0.0
2018,4,4,0,True,0.0
2018,4,3,9,True,0.0
2018,4,3,9,True,0.0
2018,4,4,0,True,0.0
2018,4,4,0,True,0.0
2018,4,4,0,True,0.0
2018,4,4,0,True,0.0
2018,4,3,14,True,0.0
2018,4,3,14,True,0.0
2018,4,3,14,True,0.0
2018,4,5,0,True,0.0
2018,4,5,17,True,0.0
2018,5,5,0,True,0.0
2018,5,5,0,True,0.0
2018,5,4,0,True,0.0
2018,5,4,0,True,0.0
2018,5,3,9,True,0.0
2018,5,3,9,True,0.0
2018,5,4,0,True,0.0
2018,5,4,0,True,0.0
2018,5,4,0,True,0.0
2018,5,4,0,True,0.0
2018,5,3,14,True,0.0
2018,5,3,14,True,0.0
2018,5,3,14,True,0.0
2018,5,5,0,True,0.0
2018,5,5,17,True,0.0
2018,6,5,0,True,0.0
2018,6,5,0,True,0.0
2018,6,4,0,True,0.0
2018,6,4,0,True,0.0
2018,6,3,9,True,0.0
2018,6,3,9,True,0.0
2018,6,4,0,True,0.0
2018,6,4,0,True,0.0
2018,6,4,0,True,0.0
2018,6,4,0,True,0.0
2018,6,3,14,True,0.0
2018,6,3,14,True,0.0
2018,6,3,14,True,0.0
2018,6,5,0,True,0.0
2018,6,5,17,True,0.0
2018,7,5,0,True,0.0
2018,7,5,0,True,0.0
2018,7,4,0,True,0.0
2018,7,4,0,True,0.0
2018,7,3,9,True,0.0
2018,7,3,9,True,0.0
2018,7,4,0,True,0.0
2018,7,4,0,True,0.0
2018,7,4,0,True,0.0
2018,7,4,0,True,0.0
2018,7,3,14,True,0.0
2018,7,3,14,True,0.0
2018,7,3,14,True,0.0
2018,7,5,0,True,0.0
2018,7,5,17,True,0.0
2018,8,5,0,True,0.0
2018,8,5,0,True,0.0
2018,8,4,0,True,0.0
2018,8,4,0,True,0.0
2018,8,3,9,True,0.0
2018,8,3,9,True,0.0
2018,8,4,0,True,0.0
2018,8,4,0,True,0.0
2018,8,4,0,True,0.0
2018,8,4,0,True,0.0
2018,8,3,14,True,0.0
2018,8,3,14,True,0.0
2018,8,3,14,True,0.0
2018,8,5,0,True,0.0
2018,8,5,17,True,0.0
2018,9,5,0,True,0.0
2018,9,5,0,True,0.0
2018,9,4,0,True,0.0
2018,9,4,0,True,0.0
2018,9,3,9,True,0.0
2018,9,3,9,True,0.0
2018,9,4,0,True,0.0
2018,9,4,0,True,0.0
2018,9,4,0,True,0.0
2018,9,4,0,True,0.0
2018,9,3,14,True,0.0
2018,9,3,14,True,0.0
2018,9,3,14,True,0.0
2018,9,5,0,True,0.0
2018,9,5,17,True,0.0
2018,10,5,0,True,0.0
2018,10,5,0,True,0.0
2018,10,4,0,True,0.0
2018,10,4,0,True,0.0
2018,10,3,9,True,0.0
2018,10,3,9,True,0.0
2018,10,4,0,True,0.0
2018,10,4,0,True,0.0
2018,10,4,0,True,0.0
2018,10,4,0,True,0.0
2018,10,3,14,True,0.0
2018,10,3,14,True,0.0
2018,10,3,14,True,0.0
2018,10,5,0,True,0.0
2018,10,5,17,True,0.0
2018,11,5,0,True,0.0
2018,11,5,0,True,0.0
2018,11,4,0,True,0.0
2018,11,4,0,True,0.0
2018,11,3,9,True,0.0
2018,11,3,9,True,0.0
2018,11,4,0,True,0.0
2018,11,4,0,True,0.0
2018,11,4,0,True,0.0
2018,11,4,0,True,0.0
2018,11,3,14,True,0.0
2018,11,3,14,True,0.0
2018,11,3,14,True,0.0
2018,11,5,0,True,0.0
2018,11,5,17,True,0.0
2018,12,5,0,True,0.0
2018,12,5,0,True,0.0
2018,12,4,0,True,0.0
2018,12,4,0,True,0.0
2018,12,3,9,True,0.0
2018,12,3,9,True,0.0
2018,12,4,0,True,0.0
2018,12,4,0,True,0.0
2018,12,4,0,True,0.0
2018,12,4,0,True,0.0
2018,12,3,14,True,0.0
2018,12,3,14,True,0.0
2018,12,3,14,True,0.0
2018,12,5,0,True,0.0
2018,12,5,17,True,0.0
2019,1,5,0,True,0.0
2019,1,5,0,True,0.0
2019,1,4,0,True,0.0
2019,1,4,0,True,0.0
2019,1,3,9,True,0.0
2019,1,3,9,True,0.0
2019,1,4,0,True,0.0
2019,1,4,0,True,0.0
2019,1,4,0,True,0.0
2019,1,4,0,True,0.0
2019,1,3,14,True,0.0
2019,1,3,14,True,0.0
2019,1,3,14,True,0.0
2019,1,5,0,True,0.0
2019,1,5,17,True,0.0
2019,2,5,0,True,0.0
2019,2,5,0,True,0.0
2019,2,4,0,True,0.0
2019,2,4,0,True,0.0
2019,2,3,9,True,0.0
2019,2,3,9,True,0.0
2019,2,4,0,True,0.0
2019,2,4,0,True,0.0
2019,2,4,0,True,0.0
2019,2,4,0,True,0.0
2019,2,3,14,True,0.0
2019,2,3,14,True,0.0
2019,2,3,14,True,0.0
2019,2,5,0,True,0.0
2019,2,5,17,True,0.0
2019,3,5,0,True,0.0
2019,3,5,0,True,0.0
2019,3,4,0,True,0.0
2019,3,4,0,True,0.0
2019,3,3,9,True,0.0
2019,3,3,9,True,0.0
2019,3,4,0,True,0.0
2019,3,4,0,True,0.0
2019,3,4,0,True,0.0
2019,3,4,0,True,0.0
2019,3,3,14,True,0.0
2019,3,3,14,True,0.0
2019,3,3,14,True,0.0
2019,3,5,0,True,0.0
2019,3,5,17,True,0.0
2019,4,5,0,True,0.0
2019,4,5,0,True,0.0
2019,4,4,0,True,0.0
2019,4,4,0,True,0.0
2019,4,3,9,True,0.0
2019,4,3,9,True,0.0
2019,4,4,0,True,0.0
2019,4,4,0,True,0.0
2019,4,4,0,True,0.0
2019,4,4,0,True,0.0
2019,4,3,14,True,0.0
2019,4,3,14,True,0.0
2019,4,3,14,True,0.0
2019,4,5,0,True,0.0
2019,4,5,17,True,0.0
2019,5,5,0,True,0.0
2019,5,5,0,True,0.0
2019,5,4,0,True,0.0
2019,5,4,0,True,0.0
2019,5,3,9,True,0.0
2019,5,3,9,True,0.0
2019,5,4,0,True,0.0
2019,5,4,0,True,0.0
2019,5,4,0,True,0.0
2019,5,4,0,True,0.0
2019,5,3,14,True,0.0
2019,5,3,14,True,0.0
2019,5,3,14,True,0.0
2019,5,5,0,True,0.0
2019,5,5,17,True,0.0
2019,6,5,0,True,0.0
2019,6,5,0,True,0.0
2019,6,4,0,True,0.0
2019,6,4,0,True,0.0
2019,6,3,9,True,0.0
2019,6,3,9,True,0.0
2019,6,4,0,True,0.0
2019,6,4,0,True,0.0
